iter	RMSE
0	73273.088
1	73246.47695
2	73236.55665
3	73220.21322
4	73213.06534
5	73205.17293
6	73195.30857
7	73184.81714
8	73176.13575
9	73166.00886
10	73155.30103
11	73152.99254
12	73140.31103
13	73133.12127
14	73127.69349
15	73125.40021
16	73115.5985
17	73108.26136
18	73101.10635
19	73095.96852
20	73088.95514
21	73085.73742
22	73081.65221
23	73075.01264
24	73072.0321
25	73063.67652
26	73058.28702
27	73054.84493
28	73048.97742
29	73045.75895
30	73041.06477
31	73038.19348
32	73034.99107
33	73031.48159
34	73027.91532
35	73024.8189
36	73022.43734
37	73019.76691
38	73013.26124
39	73012.36685
40	73011.6283
41	73011.24989
42	73009.28372
43	73006.92205
44	73003.64955
45	73002.08717
46	72998.33277
47	72997.34811
48	72994.28482
49	72992.94873
50	72989.09233
51	72988.28149
52	72987.95108
53	72986.37185
54	72984.44691
55	72983.05837
56	72982.20631
57	72981.00921
58	72979.86718
59	72977.62461
60	72975.72091
61	72974.38484
62	72973.93674
63	72973.39405
64	72971.58084
65	72970.88323
66	72970.33234
67	72969.3069
68	72967.8655
69	72964.6662
70	72963.39116
71	72962.57449
72	72962.45787
73	72960.96986
74	72960.61466
75	72960.08801
76	72959.34822
77	72959.17342
78	72958.51533
79	72956.81023
80	72954.9483
81	72954.34376
82	72953.69213
83	72952.92436
84	72952.56454
85	72952.39029
86	72952.09261
87	72951.65225
88	72951.01579
89	72950.64398
90	72950.02483
91	72949.86172
92	72949.8426
93	72945.62322
94	72945.48792
95	72943.98769
96	72943.42406
97	72942.95723
98	72942.84798
99	72942.35213
100	72942.33113
101	72940.5892
102	72940.47964
103	72939.60931
104	72939.58293
105	72939.55918
106	72939.50205
107	72939.37488
108	72939.24842
109	72939.22625
110	72938.96715
111	72938.55879
112	72938.24691
113	72938.08467
114	72938.03637
115	72937.76835
116	72936.97332
117	72934.80732
118	72934.62327
119	72934.4538
120	72934.11065
121	72933.78412
122	72933.68886
123	72933.64409
124	72933.44622
125	72932.42553
126	72931.65144
127	72931.43324
128	72931.31947
129	72931.12134
130	72931.11018
131	72930.7741
132	72929.8872
133	72929.4672
134	72929.22751
135	72929.17069
136	72928.88364
137	72928.33198
138	72927.48703
139	72927.437
