iter	Passed	Remaining
0	152	75893
1	154	38405
2	155	25810
3	157	19545
4	159	15774
5	160	13244
6	162	11438
7	164	10098
8	166	9073
9	168	8265
10	170	7582
11	171	6985
12	173	6515
13	175	6096
14	177	5747
15	179	5419
16	180	5138
17	182	4885
18	183	4657
19	185	4451
20	187	4268
21	188	4094
22	189	3936
23	191	3794
24	193	3669
25	194	3551
26	196	3444
27	198	3342
28	200	3251
29	201	3161
30	203	3084
31	206	3015
32	209	2963
33	211	2897
34	213	2833
35	215	2773
36	217	2715
37	218	2660
38	220	2606
39	222	2556
40	223	2507
41	225	2454
42	226	2408
43	228	2366
44	229	2325
45	231	2284
46	233	2250
47	235	2217
48	237	2183
49	238	2150
50	240	2119
51	242	2087
52	243	2056
53	245	2028
54	247	2006
55	249	1979
56	251	1953
57	252	1925
58	254	1902
59	256	1881
60	258	1859
61	259	1836
62	261	1815
63	263	1798
64	265	1778
65	267	1758
66	268	1738
67	270	1719
68	272	1700
69	273	1682
70	275	1665
71	277	1648
72	278	1631
73	280	1617
74	282	1602
75	284	1585
76	285	1569
77	286	1551
78	288	1536
79	290	1523
80	291	1509
81	293	1495
82	294	1480
83	296	1466
84	297	1452
85	298	1437
86	299	1423
87	301	1411
88	302	1399
89	304	1388
90	306	1376
91	307	1364
92	308	1351
93	310	1341
94	312	1331
95	314	1321
96	315	1312
97	317	1304
98	319	1295
99	321	1287
100	322	1274
101	324	1266
102	326	1257
103	327	1248
104	329	1238
105	330	1226
106	331	1217
107	333	1208
108	334	1200
109	335	1189
110	337	1181
111	339	1174
112	340	1167
113	342	1160
114	344	1151
115	345	1145
116	347	1138
117	349	1131
118	351	1123
119	352	1117
120	355	1112
121	357	1106
122	358	1099
123	360	1091
124	361	1084
125	363	1077
126	364	1071
127	366	1065
128	368	1059
129	370	1053
130	371	1045
131	373	1040
132	374	1034
133	376	1028
134	378	1022
135	379	1016
136	381	1010
137	383	1005
138	385	1000
139	386	994
140	388	989
141	389	981
142	391	976
143	392	970
144	393	963
145	394	957
146	396	951
147	397	946
148	399	939
149	400	933
150	401	927
151	403	922
152	404	918
153	406	913
154	408	909
155	410	904
156	411	900
157	413	895
158	415	891
159	417	887
160	419	882
161	420	877
162	422	872
163	423	868
164	424	862
165	426	857
166	427	853
167	429	849
168	431	845
169	433	841
170	435	837
171	436	833
172	438	829
173	440	825
174	442	821
175	443	816
176	445	812
177	447	809
178	449	805
179	451	803
180	453	799
181	454	794
182	456	790
183	458	786
184	459	783
185	461	779
186	463	775
187	465	772
188	466	768
189	468	764
190	469	759
191	470	755
192	472	751
193	474	747
194	476	744
195	478	741
196	480	738
197	482	735
198	483	731
199	485	727
200	487	724
201	488	721
202	490	717
203	492	714
204	493	710
205	495	706
206	496	703
207	498	699
208	499	695
209	501	692
210	503	689
211	504	685
212	506	683
213	509	680
214	510	677
215	512	674
216	514	670
217	516	667
218	517	664
219	519	661
220	521	658
221	523	655
222	525	653
223	527	650
224	529	647
225	531	644
226	533	641
227	535	638
228	536	635
229	539	632
230	540	629
231	542	626
232	544	624
233	546	621
234	548	618
235	549	615
236	551	612
237	553	609
238	555	606
239	556	603
240	558	600
241	560	597
242	562	594
243	563	591
244	565	588
245	567	586
